FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0.075110464,-0.0268636458,16.7711277
0.0752338,-0.0267435107,16.8012867
0.075357136,-0.0266238339,16.8314552
0.075480464,-0.02649929,16.8616352
0.0756038,-0.0263756104,16.8918228
0.075727136,-0.0262474623,16.9220257
0.075850472,-0.0261189491,16.9522381
0.0759738,-0.0259876046,16.9824696
0.076097136,-0.0258575343,17.0127048
0.076220472,-0.0257188603,17.0429573
0.076343808,-0.0255835168,17.0732155
0.076467144,-0.0254465714,17.1034908
0.076590472,-0.0253075939,17.1337719
0.076713808,-0.0251637027,17.1640739
0.076837144,-0.0250227414,17.1943817
0.07696048,-0.0248780958,17.224699
0.077083808,-0.0247297548,17.2550335
0.077207144,-0.0245810393,17.2853813
0.07733048,-0.0244319402,17.315733
0.077453816,-0.0242812224,17.3460999
0.077577144,-0.0241292939,17.376482
0.07770048,-0.0239753257,17.4068756
0.077823816,-0.0238176379,17.4372787
0.077947152,-0.0236599911,17.4676933
0.07807048,-0.0235015489,17.4981251
0.078193816,-0.0233410522,17.5285645
0.078317152,-0.0231789276,17.5590153
0.078440488,-0.0230164174,17.5894775
0.078563816,-0.0228535347,17.6199551
0.078687152,-0.0226881783,17.6504459
0.078810488,-0.0225195047,17.6809464
0.078933824,-0.0223508719,17.7114601
0.07905716,-0.0221793391,17.7419891
0.079180488,-0.0220099501,17.7725277
0.079303824,-0.0218410287,17.8030777
0.07942716,-0.0216654129,17.8336411
0.079550496,-0.0214919522,17.8642159
0.079673824,-0.0213160031,17.894804
0.07979716,-0.0211396832,17.9254017
0.079920496,-0.0209642556,17.9560165
0.080043832,-0.0207850747,17.9866428
0.08016716,-0.0206025597,18.0172806
0.080290496,-0.0204247516,18.0479298
0.080413832,-0.0202419143,18.0785942
0.080537168,-0.0200591329,18.1092758
0.080660496,-0.0198776796,18.1399612
0.080783832,-0.0196911879,18.1706638
0.080907168,-0.0195068792,18.2013779
0.081030504,-0.0193192288,18.2321072
0.08115384,-0.0191290863,18.2628498
0.081277168,-0.0189432651,18.2936058
0.081400504,-0.0187540967,18.3243732
0.08152384,-0.0185654256,18.355154
0.081647176,-0.0183716957,18.3859501
0.081770504,-0.0181823093,18.4167519
0.08189384,-0.0179882906,18.4475746
0.082017176,-0.0177981984,18.4784088
0.082140512,-0.0176043287,18.5092564
0.08226384,-0.0174075384,18.5401192
0.082387176,-0.0172129665,18.5709915
0.082510512,-0.0170159005,18.6018772
0.082633848,-0.0168180559,18.6327801
0.082757176,-0.0166228749,18.6636944
0.082880512,-0.0164239146,18.694622
0.083003848,-0.01622504,18.725565
0.083127184,-0.0160249639,18.7565231
0.083250512,-0.0158258416,18.7874947
0.083373848,-0.0156255197,18.8184776
0.083497184,-0.015421845,18.8494797
0.08362052,-0.0152206374,18.8804874
0.083743856,-0.0150175905,18.9115124
0.083867184,-0.0148120495,18.9425545
0.08399052,-0.0146079091,18.9736099
0.084113856,-0.0144014917,19.0046749
0.084237192,-0.0141951805,19.035759
0.08436052,-0.0139931003,19.0668583
0.084483856,-0.0137848454,19.0979671
0.084607192,-0.0135786552,19.1290932
0.084730528,-0.0133669404,19.1602364
0.084853856,-0.0131572941,19.1913929
0.084977192,-0.0129490681,19.222559
0.085100528,-0.0127377072,19.253746
0.085223864,-0.0125275562,19.2849426
0.085347192,-0.0123157911,19.3161621
0.085470528,-0.0121008828,19.3473873
0.085593864,-0.011888722,19.3786354
0.0857172,-0.0116756018,19.4098911
0.085840528,-0.0114599979,19.441164
0.085963864,-0.0112427818,19.4724541
0.0860872,-0.011027012,19.5037537
0.086210536,-0.0108118244,19.535078
0.086333872,-0.0105915256,19.5664101
0.0864572,-0.0103737768,19.5977554
0.086580536,-0.0101544242,19.6291237
0.086703872,-0.00993412454,19.6605015
0.086827208,-0.00971309748,19.6919003
0.086950536,-0.00948936772,19.7233086
