FFT Dimension (GHz),Re( S11 ),Im( S11 )
0.064997068,-0.848942876,0.530493677
0.065120404,-0.848371744,0.531410933
0.065243736,-0.847799361,0.532327592
0.065367072,-0.847225845,0.533243716
0.065490404,-0.846651316,0.534159124
0.06561374,-0.846075535,0.535073876
0.065737072,-0.845498919,0.53598839
0.065860408,-0.844920993,0.53690201
0.065983744,-0.844342053,0.537815094
0.066107076,-0.8437621,0.53872776
0.066230412,-0.843180895,0.539639711
0.066353744,-0.842598498,0.540550888
0.06647708,-0.842015207,0.541461706
0.066600412,-0.841430902,0.542371869
0.066723748,-0.840845346,0.543281376
0.06684708,-0.840258658,0.544190288
0.066970416,-0.839671016,0.545098603
0.067093748,-0.839082301,0.546006382
0.06721708,-0.838492215,0.546913445
0.067340416,-0.837901354,0.547819853
0.067463752,-0.837309241,0.548725784
0.067587088,-0.836716056,0.549631
0.067710416,-0.836121738,0.5505355
0.067833752,-0.835526407,0.551439583
0.067957088,-0.834929943,0.552342892
0.068080424,-0.834332407,0.553245664
0.068203752,-0.833733797,0.55414778
0.068327088,-0.833134115,0.555049241
0.068450424,-0.832533181,0.555949986
0.06857376,-0.831931412,0.556850195
0.068697096,-0.831328332,0.557749629
0.068820424,-0.830724359,0.558648586
0.06894376,-0.830119252,0.559546828
0.069067096,-0.829513013,0.560444415
0.069190432,-0.828905702,0.561341345
0.06931376,-0.828297377,0.562237561
0.069437096,-0.8276878,0.56313324
0.069560432,-0.82707727,0.564028144
0.069683768,-0.826465666,0.564922512
0.069807096,-0.825852811,0.565816104
0.069930432,-0.825239182,0.566709042
0.070053768,-0.82462424,0.567601383
0.070177104,-0.824008286,0.568493009
0.070300432,-0.823391378,0.56938386
0.070423768,-0.822773278,0.570274234
0.070547104,-0.822154284,0.571163893
0.07067044,-0.821533978,0.572052777
0.070793768,-0.820912719,0.572940946
0.070917104,-0.820290446,0.573828697
0.07104044,-0.819667041,0.574715316
0.071163776,-0.819042563,0.575601578
0.071287112,-0.818417013,0.576487184
0.07141044,-0.817790568,0.577371955
0.071533776,-0.817162991,0.57825613
0.071657112,-0.816534221,0.579139471
0.071780448,-0.815904498,0.580022156
0.071903776,-0.815273821,0.580904186
0.072027112,-0.814641953,0.58178544
0.072150448,-0.81400907,0.582666039
0.072273784,-0.813374996,0.583545983
0.072397112,-0.812740207,0.584425211
0.072520448,-0.812104046,0.585303783
0.072643784,-0.811466992,0.586181462
0.07276712,-0.810828984,0.587058544
0.072890448,-0.810189843,0.587934792
0.073013784,-0.80954963,0.588810444
0.07313712,-0.808908463,0.589685321
0.073260456,-0.808266282,0.590559661
0.073383784,-0.80762291,0.591433048
0.07350712,-0.806978703,0.592305839
0.073630456,-0.806333423,0.593178034
0.073753792,-0.80568701,0.594049156
0.073877128,-0.805039644,0.594919741
0.074000456,-0.804391325,0.595789492
0.074123792,-0.803741872,0.596658647
0.074247128,-0.803091466,0.597527146
0.074370464,-0.802440107,0.598394811
0.074493792,-0.801787436,0.599261642
0.074617128,-0.80113399,0.600127757
0.074740464,-0.800479591,0.600993276
0.0748638,-0.799824238,0.60185802
0.074987128,-0.799167693,0.60272193
0.075110464,-0.798510253,0.603585184
0.0752338,-0.797851682,0.604447663
0.075357136,-0.797192156,0.605309427
0.075480464,-0.796531618,0.606170475
0.0756038,-0.795870185,0.607030571
0.075727136,-0.795207739,0.607890189
0.075850472,-0.794544339,0.608748913
0.0759738,-0.793879747,0.609606981
0.076097136,-0.79321444,0.610464334
0.076220472,-0.792547882,0.611320734
0.076343808,-0.791880369,0.612176418
0.076467144,-0.791212022,0.613031626
0.076590472,-0.790542781,0.61388582
0.076713808,-0.789872229,0.614739358
0.076837144,-0.789200842,0.615592122
0.07696048,-0.78852874,0.616444051
0.077083808,-0.787855208,0.617295325
0.077207144,-0.787180901,0.618146002
0.07733048,-0.786505699,0.618995607
0.077453816,-0.785829425,0.619844496
0.077577144,-0.785152376,0.620692909
0.07770048,-0.784474194,0.621540427
0.077823816,-0.783794999,0.62238723
0.077947152,-0.78311491,0.62323302
0.07807048,-0.782433927,0.624078333
